PRODUCTKEY,PRODUCTALTERNATEKEY,PRODUCTSUBCATEGORYKEY,WEIGHTUNITMEASURECODE,SIZEUNITMEASURECODE,ENGLISHPRODUCTNAME,STANDARDCOST,FINISHEDGOODSFLAG,COLOR,SAFETYSTOCKLEVEL,REORDERPOINT,LISTPRICE,SIZEACTUAL,SIZERANGE,WEIGHT,DAYSTOMANUFACTURE,PRODUCTLINE,DEALERPRICE,CLASS,STYLE,MODELNAME,ENGLISHDESCRIPTION,STARTDATE,ENDDATE,STATUS
339,BK-R50B-44,2,LB ,CM ,"Road-650 Black, 44",487,1,Black,100,75,782.99,44,42-46 CM,18.77,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
340,BK-R50B-48,2,LB ,CM ,"Road-650 Black, 48",413,1,Black,100,75,699.1,48,48-52 CM,19.13,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
341,BK-R50B-48,2,LB ,CM ,"Road-650 Black, 48",487,1,Black,100,75,782.99,48,48-52 CM,19.13,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
342,BK-R50B-52,2,LB ,CM ,"Road-650 Black, 52",413,1,Black,100,75,699.1,52,48-52 CM,19.42,4,R ,419,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2001-07-01,2002-06-30,
343,BK-R50B-52,2,LB ,CM ,"Road-650 Black, 52",487,1,Black,100,75,782.99,52,48-52 CM,19.42,4,R ,470,L ,U ,Road-650,"Value-priced bike with many features of our top-of-the-line models. Has the same light, stiff frame, and the quick acceleration we're famous for.",2002-07-01,2003-06-30,
344,BK-M82S-38,1,LB ,CM ,"Mountain-100 Silver, 38",1912,1,Silver,100,75,3399.99,38,38-40 CM,20.35,4,M ,2040,H ,U ,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",2001-07-01,2002-06-30,
345,BK-M82S-42,1,LB ,CM ,"Mountain-100 Silver, 42",1912,1,Silver,100,75,3399.99,42,42-46 CM,20.77,4,M ,2040,H ,U ,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",2001-07-01,2002-06-30,
346,BK-M82S-44,1,LB ,CM ,"Mountain-100 Silver, 44",1912,1,Silver,100,75,3399.99,44,42-46 CM,21.13,4,M ,2040,H ,U ,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",2001-07-01,2002-06-30,
347,BK-M82S-48,1,LB ,CM ,"Mountain-100 Silver, 48",1912,1,Silver,100,75,3399.99,48,48-52 CM,21.42,4,M ,2040,H ,U ,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",2001-07-01,2002-06-30,
561,BK-T79Y-46,3,LB ,CM ,"Touring-1000 Yellow, 46",1482,1,Yellow,100,75,2384.07,46,42-46 CM,25.13,4,T ,1430,H ,U ,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,2003-07-01,,Current
562,BK-T79Y-50,3,LB ,CM ,"Touring-1000 Yellow, 50",1482,1,Yellow,100,75,2384.07,50,48-52 CM,25.42,4,T ,1430,H ,U ,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,2003-07-01,,Current
563,BK-T79Y-54,3,LB ,CM ,"Touring-1000 Yellow, 54",1482,1,Yellow,100,75,2384.07,54,54-58 CM,25.68,4,T ,1430,H ,U ,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,2003-07-01,,Current
564,BK-T79Y-60,3,LB ,CM ,"Touring-1000 Yellow, 60",1482,1,Yellow,100,75,2384.07,60,60-62 CM,25.9,4,T ,1430,H ,U ,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,2003-07-01,,Current
565,BK-T18U-54,3,LB ,CM ,"Touring-3000 Blue, 54",461,1,Blue,100,75,742.35,54,54-58 CM,29.68,4,T ,445,L ,U ,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",2003-07-01,,Current
566,BK-T18U-58,3,LB ,CM ,"Touring-3000 Blue, 58",461,1,Blue,100,75,742.35,58,54-58 CM,29.9,4,T ,445,L ,U ,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",2003-07-01,,Current
567,BK-T18U-62,3,LB ,CM ,"Touring-3000 Blue, 62",461,1,Blue,100,75,742.35,62,60-62 CM,30.0,4,T ,445,L ,U ,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",2003-07-01,,Current
568,BK-T18Y-44,3,LB ,CM ,"Touring-3000 Yellow, 44",461,1,Yellow,100,75,742.35,44,42-46 CM,28.77,4,T ,445,L ,U ,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",2003-07-01,,Current
569,BK-T18Y-50,3,LB ,CM ,"Touring-3000 Yellow, 50",461,1,Yellow,100,75,742.35,50,48-52 CM,29.13,4,T ,445,L ,U ,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",2003-07-01,,Current
570,BK-T18Y-54,3,LB ,CM ,"Touring-3000 Yellow, 54",461,1,Yellow,100,75,742.35,54,54-58 CM,29.42,4,T ,445,L ,U ,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",2003-07-01,,Current
571,BK-T18Y-58,3,LB ,CM ,"Touring-3000 Yellow, 58",461,1,Yellow,100,75,742.35,58,54-58 CM,29.79,4,T ,445,L ,U ,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",2003-07-01,,Current
572,BK-T18Y-62,3,LB ,CM ,"Touring-3000 Yellow, 62",461,1,Yellow,100,75,742.35,62,60-62 CM,30.0,4,T ,445,L ,U ,Touring-3000,"All-occasion value bike with our basic comfort and safety features. Offers wider, more stable tires for a ride around town or weekend trip.",2003-07-01,,Current
573,BK-T79U-46,3,LB ,CM ,"Touring-1000 Blue, 46",1482,1,Blue,100,75,2384.07,46,42-46 CM,25.13,4,T ,1430,H ,U ,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,2003-07-01,,Current
574,BK-T79U-50,3,LB ,CM ,"Touring-1000 Blue, 50",1482,1,Blue,100,75,2384.07,50,48-52 CM,25.42,4,T ,1430,H ,U ,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,2003-07-01,,Current
575,BK-T79U-54,3,LB ,CM ,"Touring-1000 Blue, 54",1482,1,Blue,100,75,2384.07,54,54-58 CM,25.68,4,T ,1430,H ,U ,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,2003-07-01,,Current
576,BK-T79U-60,3,LB ,CM ,"Touring-1000 Blue, 60",1482,1,Blue,100,75,2384.07,60,60-62 CM,25.9,4,T ,1430,H ,U ,Touring-1000,Travel in style and comfort. Designed for maximum comfort and safety. Wide gear range takes on all hills. High-tech aluminum alloy construction provides durability without added weight.,2003-07-01,,Current
577,BK-T44U-46,3,LB ,CM ,"Touring-2000 Blue, 46",755,1,Blue,100,75,1214.85,46,42-46 CM,27.13,4,T ,729,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",2003-07-01,,Current
578,BK-T44U-50,3,LB ,CM ,"Touring-2000 Blue, 50",755,1,Blue,100,75,1214.85,50,48-52 CM,27.42,4,T ,729,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",2003-07-01,,Current
579,BK-T44U-54,3,LB ,CM ,"Touring-2000 Blue, 54",755,1,Blue,100,75,1214.85,54,54-58 CM,27.68,4,T ,729,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",2003-07-01,,Current
580,BK-R79Y-40,2,LB ,CM ,"Road-350-W Yellow, 40",1083,1,Yellow,100,75,1700.99,40,38-40 CM,15.35,4,R ,1021,M ,W ,Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",2003-07-01,,Current
581,BK-R79Y-42,2,LB ,CM ,"Road-350-W Yellow, 42",1083,1,Yellow,100,75,1700.99,42,42-46 CM,15.77,4,R ,1021,M ,W ,Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",2003-07-01,,Current
582,BK-R79Y-44,2,LB ,CM ,"Road-350-W Yellow, 44",1083,1,Yellow,100,75,1700.99,44,42-46 CM,16.13,4,R ,1021,M ,W ,Road-350-W,"Cross-train, race, or just socialize on a sleek, aerodynamic bike designed for a woman.  Advanced seat technology provides comfort all day.",2003-07-01,,Current
348,BK-M82B-38,1,LB ,CM ,"Mountain-100 Black, 38",1898,1,Black,100,75,3374.99,38,38-40 CM,20.35,4,M ,2025,H ,U ,Mountain-100,"Top-of-the-line competition mountain bike. Performance-enhancing options include the innovative HL Frame, super-smooth front suspension, and traction for all terrain.",2001-07-01,2002-06-30,
373,BK-R89B-44,2,LB ,CM ,"Road-250 Black, 44",1321,1,Black,100,75,2181.56,44,42-46 CM,14.77,4,R ,1309,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2002-07-01,2003-06-30,
374,BK-R89B-44,2,LB ,CM ,"Road-250 Black, 44",1555,1,Black,100,75,2443.35,44,42-46 CM,14.77,4,R ,1466,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2003-07-01,,Current
375,BK-R89B-48,2,LB ,CM ,"Road-250 Black, 48",1321,1,Black,100,75,2181.56,48,48-52 CM,15.13,4,R ,1309,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2002-07-01,2003-06-30,
376,BK-R89B-48,2,LB ,CM ,"Road-250 Black, 48",1555,1,Black,100,75,2443.35,48,48-52 CM,15.13,4,R ,1466,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2003-07-01,,Current
377,BK-R89B-52,2,LB ,CM ,"Road-250 Black, 52",1321,1,Black,100,75,2181.56,52,48-52 CM,15.42,4,R ,1309,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2002-07-01,2003-06-30,
378,BK-R89B-52,2,LB ,CM ,"Road-250 Black, 52",1555,1,Black,100,75,2443.35,52,48-52 CM,15.42,4,R ,1466,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2003-07-01,,Current
379,BK-R89B-58,2,LB ,CM ,"Road-250 Black, 58",1321,1,Black,100,75,2181.56,58,54-58 CM,15.68,4,R ,1309,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2002-07-01,2003-06-30,
380,BK-R89B-58,2,LB ,CM ,"Road-250 Black, 58",1555,1,Black,100,75,2443.35,58,54-58 CM,15.68,4,R ,1466,H ,U ,Road-250,"Alluminum-alloy frame provides a light, stiff ride, whether you are racing in the velodrome or on a demanding club ride on country roads.",2003-07-01,,Current
381,BK-R64Y-38,2,LB ,CM ,"Road-550-W Yellow, 38",606,1,Yellow,100,75,1000.44,38,38-40 CM,17.35,4,R ,600,M ,W ,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2002-07-01,2003-06-30,
382,BK-R64Y-38,2,LB ,CM ,"Road-550-W Yellow, 38",713,1,Yellow,100,75,1120.49,38,38-40 CM,17.35,4,R ,672,M ,W ,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2003-07-01,,Current
383,BK-R64Y-40,2,LB ,CM ,"Road-550-W Yellow, 40",606,1,Yellow,100,75,1000.44,40,38-40 CM,17.77,4,R ,600,M ,W ,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2002-07-01,2003-06-30,
384,BK-R64Y-40,2,LB ,CM ,"Road-550-W Yellow, 40",713,1,Yellow,100,75,1120.49,40,38-40 CM,17.77,4,R ,672,M ,W ,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2003-07-01,,Current
385,BK-R64Y-42,2,LB ,CM ,"Road-550-W Yellow, 42",606,1,Yellow,100,75,1000.44,42,42-46 CM,18.13,4,R ,600,M ,W ,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2002-07-01,2003-06-30,
386,BK-R64Y-42,2,LB ,CM ,"Road-550-W Yellow, 42",713,1,Yellow,100,75,1120.49,42,42-46 CM,18.13,4,R ,672,M ,W ,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2003-07-01,,Current
387,BK-R64Y-44,2,LB ,CM ,"Road-550-W Yellow, 44",606,1,Yellow,100,75,1000.44,44,42-46 CM,18.42,4,R ,600,M ,W ,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2002-07-01,2003-06-30,
388,BK-R64Y-44,2,LB ,CM ,"Road-550-W Yellow, 44",713,1,Yellow,100,75,1120.49,44,42-46 CM,18.42,4,R ,672,M ,W ,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2003-07-01,,Current
389,BK-R64Y-48,2,LB ,CM ,"Road-550-W Yellow, 48",606,1,Yellow,100,75,1000.44,48,48-52 CM,18.68,4,R ,600,M ,W ,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2002-07-01,2003-06-30,
390,BK-R64Y-48,2,LB ,CM ,"Road-550-W Yellow, 48",713,1,Yellow,100,75,1120.49,48,48-52 CM,18.68,4,R ,672,M ,W ,Road-550-W,"Same technology as all of our Road series bikes, but the frame is sized for a woman.  Perfect all-around bike for road or racing.",2003-07-01,,Current
528,TT-M928,37,,,Mountain Tire Tube,2,1,NA,500,375,4.99,,NA,,0,M ,3,,,Mountain Tire Tube,Self-sealing tube.,2003-07-01,,Current
529,TT-R982,37,,,Road Tire Tube,1,1,NA,500,375,3.99,,NA,,0,R ,2,,,Road Tire Tube,Conventional all-purpose tube.,2003-07-01,,Current
530,TT-T092,37,,,Touring Tire Tube,2,1,NA,500,375,4.99,,NA,,0,T ,3,,,Touring Tire Tube,General purpose tube.,2003-07-01,,Current
535,TI-M267,37,,,LL Mountain Tire,9,1,NA,500,375,24.99,,NA,,0,M ,15,L ,,LL Mountain Tire,"Comparible traction, less expensive wire bead casing.",2003-07-01,,Current
536,TI-M602,37,,,ML Mountain Tire,11,1,NA,500,375,29.99,,NA,,0,M ,18,M ,,ML Mountain Tire,"Great traction, high-density rubber.",2003-07-01,,Current
537,TI-M823,37,,,HL Mountain Tire,13,1,NA,500,375,35.0,,NA,,0,M ,21,H ,,HL Mountain Tire,"Incredible traction, lightweight carbon reinforced.",2003-07-01,,Current
538,TI-R092,37,,,LL Road Tire,8,1,NA,500,375,21.49,,NA,,0,R ,13,L ,,LL Road Tire,Same great treads as more expensive tire with a less expensive wire bead casing.,2003-07-01,,Current
539,TI-R628,37,,,ML Road Tire,9,1,NA,500,375,24.99,,NA,,0,R ,15,M ,,ML Road Tire,Higher density rubber.,2003-07-01,,Current
540,TI-R982,37,,,HL Road Tire,12,1,NA,500,375,32.6,,NA,,0,R ,20,H ,,HL Road Tire,Lightweight carbon reinforced  for an unrivaled ride at an un-compromised weight.,2003-07-01,,Current
541,TI-T723,37,,,Touring Tire,11,1,NA,500,375,28.99,,NA,,0,T ,17,,,Touring Tire,High-density rubber.,2003-07-01,,Current
560,BK-T44U-60,3,LB ,CM ,"Touring-2000 Blue, 60",755,1,Blue,100,75,1214.85,60,60-62 CM,27.9,4,T ,729,M ,U ,Touring-2000,"The plush custom saddle keeps you riding all day,  and there's plenty of space to add panniers and bike bags to the newly-redesigned carrier.  This bike has stability when fully-loaded.",2003-07-01,,Current
237,LJ-0192-X,21,,,"Long-Sleeve Logo Jersey, XL",38,1,Multi,4,3,49.99,XL,XL,,0,S ,30,,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2003-07-01,,Current
214,HL-U509-R,31,,,"Sport-100 Helmet, Red",13,1,Red,4,3,34.99,,NA,,0,S ,21,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2003-07-01,,Current
217,HL-U509,31,,,"Sport-100 Helmet, Black",13,1,Black,4,3,34.99,,NA,,0,S ,21,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2003-07-01,,Current
222,HL-U509-B,31,,,"Sport-100 Helmet, Blue",13,1,Blue,4,3,34.99,,NA,,0,S ,21,,,Sport-100,"Universal fit, well-vented, lightweight , snap-on visor.",2003-07-01,,Current
225,CA-1098,19,,,AWC Logo Cap,7,1,Multi,4,3,8.99,,NA,,0,S ,5,,U ,Cycling Cap,Traditional style with a flip-up brim; one-size fits all.,2003-07-01,,Current
228,LJ-0192-S,21,,,"Long-Sleeve Logo Jersey, S",38,1,Multi,4,3,49.99,S,S,,0,S ,30,,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2003-07-01,,Current
231,LJ-0192-M,21,,,"Long-Sleeve Logo Jersey, M",38,1,Multi,4,3,49.99,M,M,,0,S ,30,,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2003-07-01,,Current
234,LJ-0192-L,21,,,"Long-Sleeve Logo Jersey, L",38,1,Multi,4,3,49.99,L,L,,0,S ,30,,U ,Long-Sleeve Logo Jersey,Unisex long-sleeve AWC logo microfiber cycling jersey,2003-07-01,,Current
463,GL-H102-S,20,,,"Half-Finger Gloves, S",9,1,Black,4,3,24.49,S,S,,0,S ,15,,U ,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",2003-07-01,,Current
465,GL-H102-M,20,,,"Half-Finger Gloves, M",9,1,Black,4,3,24.49,M,M,,0,S ,15,,U ,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",2003-07-01,,Current
467,GL-H102-L,20,,,"Half-Finger Gloves, L",9,1,Black,4,3,24.49,L,L,,0,S ,15,,U ,Half-Finger Gloves,"Full padding, improved finger flex, durable palm, adjustable closure.",2003-07-01,,Current
471,VE-C304-S,25,,,"Classic Vest, S",24,1,Blue,4,3,63.5,S,S,,0,S ,38,,U ,Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",2003-07-01,,Current
472,VE-C304-M,25,,,"Classic Vest, M",24,1,Blue,4,3,63.5,M,M,,0,S ,38,,U ,Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",2003-07-01,,Current
473,VE-C304-L,25,,,"Classic Vest, L",24,1,Blue,4,3,63.5,L,L,,0,S ,38,,U ,Classic Vest,"Light-weight, wind-resistant, packs to fit into a pocket.",2003-07-01,,Current
474,SH-W890-S,22,,,"Women's Mountain Shorts, S",26,1,Black,4,3,69.99,S,S,,0,M ,42,,W ,Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",2003-07-01,,Current
475,SH-W890-M,22,,,"Women's Mountain Shorts, M",26,1,Black,4,3,69.99,M,M,,0,M ,42,,W ,Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",2003-07-01,,Current
476,SH-W890-L,22,,,"Women's Mountain Shorts, L",26,1,Black,4,3,69.99,L,L,,0,M ,42,,W ,Women's Mountain Shorts,"Heavy duty, abrasion-resistant shorts feature seamless, lycra inner shorts with anti-bacterial chamois for comfort.",2003-07-01,,Current
477,WB-H098,28,,,Water Bottle - 30 oz.,2,1,NA,4,3,4.99,,NA,,0,S ,3,,,Water Bottle,AWC logo water bottle - holds 30 oz; leak-proof.,2003-07-01,,Current
478,BC-M005,28,,,Mountain Bottle Cage,4,1,NA,4,3,9.99,,NA,,0,M ,6,,,Mountain Bottle Cage,Tough aluminum cage holds bottle securly on tough terrain.,2003-07-01,,Current
479,BC-R205,28,,,Road Bottle Cage,3,1,NA,4,3,8.99,,NA,,0,R ,5,,,Road Bottle Cage,Aluminum cage is lighter than our mountain version; perfect for long distance trips.,2003-07-01,,Current
480,PK-7098,37,,,Patch Kit/8 Patches,1,1,NA,4,3,2.29,,NA,,0,S ,1,,,Patch kit,"Includes 8 different size patches, glue and sandpaper.",2003-07-01,,Current
481,SO-R809-M,23,,,"Racing Socks, M",3,1,White,4,3,8.99,M,M,,0,R ,5,,U ,Racing Socks,"Thin, lightweight and durable with cuffs that stay up.",2003-07-01,,Current
